,chain,uri,success,error
110,odin,https://raw.githubusercontent.com/ODIN-PROTOCOL/networks/master/mainnets/odin-mainnet-freya/genesis.json,true,NaN
111,irisnet,https://raw.githubusercontent.com/irisnet/mainnet/master/config/genesis.json,true,NaN
112,passage,https://raw.githubusercontent.com/envadiv/mainnet/main/passage-1/genesis.json,true,NaN
113,cronos,https://raw.githubusercontent.com/crypto-org-chain/cronos-mainnet/master/cronosmainnet_25-1/genesis.json,true,NaN
114,juno,https://download.dimi.sh/juno-phoenix2-genesis.tar.gz,false,HTTP Error 403: Forbidden
115,juno,https://download.dimi.sh/juno-phoenix2-genesis.tar.gz,true,NaN
116,mars,https://github.com/mars-protocol/networks/raw/main/mars-1/genesis.json,true,NaN
117,desmos,https://raw.githubusercontent.com/desmos-labs/mainnet/main/genesis.json,true,NaN
118,teritori,https://github.com/TERITORI/teritori-chain/raw/mainnet/mainnet/teritori-1/genesis.json,false,The read operation timed out
119,teritori,https://github.com/TERITORI/teritori-chain/raw/mainnet/mainnet/teritori-1/genesis.json,true,NaN
120,konstellation,https://raw.githubusercontent.com/Konstellation/konstellation/master/config/genesis.json,true,NaN
121,rebus,https://github.com/rebuschain/rebus.mainnet/raw/master/reb_1111-1/genesis.zip,false,'utf-8' codec can't decode byte 0xae in position 10: invalid start byte
122,rebus,https://github.com/rebuschain/rebus.mainnet/raw/master/reb_1111-1/genesis.zip,true,NaN
123,terra2,https://phoenix-genesis.s3.us-west-1.amazonaws.com/genesis.json,true,NaN
124,jackal,https://cdn.discordapp.com/attachments/1002389406650466405/1034968352591986859/updated_genesis2.json,false,HTTP Error 403: Forbidden
125,jackal,https://cdn.discordapp.com/attachments/1002389406650466405/1034968352591986859/updated_genesis2.json,true,NaN
126,regen,https://raw.githubusercontent.com/regen-network/mainnet/main/regen-1/genesis.json,true,NaN
127,okexchain,https://github.com/okex/mainnet/blob/main/genesis.json,false,Expecting value: line 8 column 1 (char 7)
128,okexchain,https://github.com/okex/mainnet/blob/main/genesis.json,true,NaN
129,firmachain,https://raw.githubusercontent.com/FirmaChain/mainnet/main/colosseum-1/genesis.json,true,NaN
130,shentu,https://raw.githubusercontent.com/ShentuChain/mainnet/main/shentu-2.2/genesis.json,true,NaN
131,nyx,https://nymtech.net/genesis/genesis.json,true,NaN
